game_id,period,minutes_remaining,seconds_remaining,shot_clock,player_id,player_name,position,team,opponent,home,score_margin,loc_x,loc_y,shot_distance,shot_zone,is_three,dribbles,touch_time,catch_and_shoot,defender_distance,true_prob,shot_made
22600201,1,9,52,12.0,10,Shai Gilgeous-Alexander,PG,MEM,DET,0,-3,11.5,22.7,25.4,Above The Break 3,1,3,3.4,0,0.2,0.1849,0
22600174,3,6,1,10.8,38,Kristaps Porzingis,C,OKC,NOP,0,-7,-2.2,7.6,7.9,In The Paint (Non-RA),0,5,4.7,0,5.7,0.3773,0
22600058,4,11,13,24.0,58,Ausar Barlow,PG,CHI,GSW,1,1,18.9,23.1,29.9,Above The Break 3,1,1,5.1,0,5.1,0.3516,0
22600374,1,0,20,16.7,14,Damian Lillard,PF,CHA,LAC,0,-15,-23.3,17.5,29.1,Above The Break 3,1,1,3.2,0,1.7,0.2233,1
22600006,1,5,56,16.6,2,Luka Doncic,PF,PHI,DEN,0,6,21.0,4.9,21.6,Long Mid-Range,0,2,1.6,0,0.8,0.3714,0
22600070,1,11,41,19.8,31,Cade Cunningham,SF,LAL,OKC,1,5,-22.2,6.9,23.2,Left Corner 3,1,1,1.8,1,5.5,0.5005,0
22600092,4,8,48,7.1,50,Josh Hart,PF,ORL,CHI,0,3,-12.6,23.2,26.4,Above The Break 3,1,1,8.2,0,6.7,0.3622,1
22600112,3,0,44,13.4,14,Damian Lillard,PF,CHA,LAL,1,-2,-13.7,3.8,14.2,Mid-Range,0,0,12.7,0,2.2,0.3388,1
22600053,2,6,18,2.0,24,Jalen Brunson,C,POR,BOS,0,-3,-21.8,5.3,22.5,Right Corner 3,1,1,1.1,1,5.2,0.3373,0
22600008,2,11,23,14.0,24,Jalen Brunson,C,POR,DET,1,-15,13.0,28.5,31.4,Deep 3 / Heave,1,2,1.6,0,3.4,0.0552,0
22600272,2,7,15,8.0,24,Jalen Brunson,C,POR,GSW,0,8,21.2,6.1,22.1,Right Corner 3,1,3,3.2,0,5.1,0.2936,1
22600388,1,0,50,23.2,22,De'Aaron Fox,SG,LAL,SAS,1,-12,1.4,3.3,3.6,Restricted Area,0,2,1.5,0,8.5,0.6694,1
22600049,1,7,51,10.0,6,Steph Curry,C,GSW,NOP,1,-4,-1.3,1.0,1.7,Restricted Area,0,1,1.7,1,4.9,0.668,0
22600119,1,1,11,13.7,42,Klay Thompson,PF,CLE,TOR,1,-5,0.2,0.4,0.5,Restricted Area,0,3,5.3,0,5.8,0.6383,0
22600203,4,11,22,16.0,11,Ja Morant,SF,PHX,BKN,1,12,-0.6,35.0,35.0,Deep 3 / Heave,1,1,2.0,1,5.6,0.2345,0
22600372,4,4,43,4.6,41,Draymond Green,PG,POR,MIA,0,-6,12.1,4.8,13.1,Mid-Range,0,2,5.9,0,2.6,0.3689,0
22600278,1,9,33,13.7,6,Steph Curry,C,GSW,UTA,1,-3,-0.9,2.8,2.9,Restricted Area,0,3,5.0,0,7.6,0.7091,1
22600307,1,0,20,1.0,59,Scoot Henderson,PF,DEN,BOS,1,0,0.5,2.7,2.7,Restricted Area,0,2,1.5,0,1.3,0.5556,0
22600233,3,2,57,4.5,17,Kawhi Leonard,SF,GSW,IND,1,-25,-0.0,3.1,3.1,Restricted Area,0,1,6.8,0,4.3,0.628,1
22600167,2,6,7,6.9,15,Joel Embiid,PF,OKC,MIL,0,3,-7.5,35.3,36.1,Deep 3 / Heave,1,3,2.8,0,3.8,0.0466,0
22600080,3,0,55,13.3,10,Shai Gilgeous-Alexander,PG,MEM,DEN,0,2,-21.6,7.0,22.7,Left Corner 3,1,1,0.9,1,6.1,0.4299,0
22600346,1,5,12,7.8,5,Giannis Antetokounmpo,SF,LAC,PHX,1,-1,-22.4,7.5,23.7,Left Corner 3,1,1,3.0,0,6.2,0.4101,0
22600322,1,8,32,11.0,51,Aaron Christie,PF,DET,HOU,0,-3,0.2,0.1,0.2,Restricted Area,0,2,1.5,0,0.4,0.6317,0
22600011,4,1,37,4.4,12,Trae Young,C,CLE,LAL,1,1,22.5,17.1,28.2,Above The Break 3,1,0,5.6,0,5.4,0.317,0
22600287,2,2,23,21.5,43,Kyrie Irving,PF,POR,TOR,0,14,-3.6,11.1,11.7,Mid-Range,0,0,3.6,0,2.2,0.3668,1
22600034,4,2,52,21.1,52,Dejounte Murray,PG,PHX,DEN,1,-5,1.4,32.2,32.2,Deep 3 / Heave,1,0,0.2,1,3.1,0.1582,0
22600296,3,7,51,21.6,33,Desmond Bane,PG,SAC,UTA,1,0,12.8,11.5,17.2,Long Mid-Range,0,1,1.3,1,6.4,0.4987,0
22600331,2,2,48,17.9,26,Karl Towns,PF,ORL,UTA,0,-16,3.1,5.9,6.6,In The Paint (Non-RA),0,1,1.0,1,2.3,0.3897,0
22600053,2,11,4,5.7,27,Rudy Gobert,SF,BKN,MEM,0,-3,-2.1,34.8,34.9,Deep 3 / Heave,1,1,0.7,1,9.3,0.1787,1
22600174,4,9,37,24.0,49,Bradley Beal,PF,MEM,MIA,0,-12,22.6,6.2,23.5,Left Corner 3,1,3,3.7,0,6.4,0.3478,1
22600050,4,8,13,13.0,36,LaMelo Ball,PG,DET,CLE,1,17,0.3,0.7,0.8,Restricted Area,0,0,3.8,0,3.3,0.636,1
22600227,2,9,28,16.0,53,Alperen Sengun,SG,MIL,ORL,1,-3,-22.2,17.4,28.2,Above The Break 3,1,1,1.3,1,2.8,0.385,0
22600372,1,8,20,16.0,35,Jaren Jackson,C,SAS,OKC,0,1,20.8,16.7,26.6,Above The Break 3,1,2,4.3,0,8.6,0.3211,0
22600033,4,4,29,12.1,19,Donovan Mitchell,C,MIL,LAL,1,6,3.3,3.7,4.9,In The Paint (Non-RA),0,6,4.0,0,3.8,0.4113,0
22600160,4,6,4,8.4,46,Pascal Siakam,C,PHX,MIN,1,-2,-17.1,17.7,24.6,Above The Break 3,1,3,2.7,0,7.2,0.3279,0
22600390,4,9,24,5.7,18,Paul George,PG,DAL,DET,1,-3,-0.7,0.3,0.8,Restricted Area,0,1,1.5,1,6.0,0.66,0
22600121,2,9,0,4.5,60,Brandin Duren,PF,CHA,IND,0,-12,1.1,0.3,1.1,Restricted Area,0,2,4.7,0,1.0,0.5752,1
22600053,4,9,5,13.3,60,Brandin Duren,PF,CHA,MEM,0,-14,0.0,0.8,0.8,Restricted Area,0,2,3.5,0,3.2,0.6285,0
22600196,2,11,59,13.7,9,Anthony Edwards,SG,BKN,DAL,1,-3,10.4,4.3,11.2,Mid-Range,0,0,3.7,0,1.1,0.383,1
22600204,2,1,15,14.5,48,Derrick White,C,NYK,BOS,0,5,-17.5,22.9,28.8,Above The Break 3,1,2,13.7,0,4.9,0.3074,0
22600266,1,2,31,20.5,10,Shai Gilgeous-Alexander,PG,MEM,BOS,0,10,24.0,16.4,29.1,Above The Break 3,1,2,1.4,0,4.8,0.2615,0
22600126,4,7,17,17.9,53,Alperen Sengun,SG,MIL,IND,1,-6,10.9,8.7,14.0,Mid-Range,0,1,9.4,0,6.8,0.4409,1
22600383,4,0,43,14.8,47,Jrue Holiday,SF,PHX,IND,1,0,22.4,5.2,23.0,Left Corner 3,1,3,9.1,0,2.7,0.3257,0
22600209,4,4,12,19.9,37,Zach LaVine,C,DEN,MEM,0,-5,-20.5,33.0,38.8,Deep 3 / Heave,1,2,4.1,0,1.9,0.0631,1
22600115,4,10,3,4.6,21,Bam Adebayo,SF,UTA,DEN,1,-17,-6.9,23.1,24.1,Above The Break 3,1,3,2.3,0,3.2,0.36,0
22600385,2,0,38,20.1,27,Rudy Gobert,SF,BKN,TOR,0,-5,22.3,7.2,23.4,Left Corner 3,1,3,2.6,0,2.0,0.2465,1
22600370,5,2,5,14.6,18,Paul George,PG,DAL,BOS,0,-5,-0.4,0.2,0.5,Restricted Area,0,5,4.8,0,1.0,0.6422,1
22600200,2,9,50,6.1,11,Ja Morant,SF,PHX,DAL,1,-7,-21.0,14.5,25.5,Above The Break 3,1,2,2.3,0,3.1,0.291,0
22600010,3,6,9,14.4,60,Brandin Duren,PF,CHA,SAC,1,-12,2.1,5.9,6.2,In The Paint (Non-RA),0,3,4.6,0,3.9,0.432,0
22600239,4,11,28,24.0,45,OG Anunoby,PG,PHX,BKN,0,0,0.4,3.3,3.3,Restricted Area,0,3,4.0,0,7.4,0.632,0
22600223,1,5,25,4.0,21,Bam Adebayo,SF,UTA,WAS,0,-18,-2.2,15.5,15.7,Mid-Range,0,0,1.8,1,3.5,0.4415,0
22600060,2,4,38,11.5,10,Shai Gilgeous-Alexander,PG,MEM,SAC,0,-19,8.6,23.4,24.9,Above The Break 3,1,2,2.8,0,4.3,0.252,0
22600254,5,3,6,12.4,21,Bam Adebayo,SF,UTA,LAL,1,6,2.3,0.4,2.3,Restricted Area,0,2,4.0,0,2.3,0.654,0
22600337,2,7,32,17.5,60,Brandin Duren,PF,CHA,HOU,0,0,-17.3,23.0,28.8,Above The Break 3,1,2,3.3,0,2.2,0.3274,0
22600043,1,5,58,10.2,60,Brandin Duren,PF,CHA,MIL,0,-1,0.5,3.0,3.0,Restricted Area,0,2,1.4,0,2.7,0.6406,1
22600290,4,7,53,14.9,37,Zach LaVine,C,DEN,CLE,1,-5,-10.7,4.2,11.5,Mid-Range,0,1,5.9,0,4.7,0.3403,0
22600057,2,11,44,18.3,58,Ausar Barlow,PG,CHI,DEN,0,-10,-0.7,10.4,10.4,Mid-Range,0,2,1.9,0,4.8,0.3839,0
22600300,2,2,2,10.5,43,Kyrie Irving,PF,POR,CLE,0,6,0.5,1.8,1.9,Restricted Area,0,2,4.3,0,3.0,0.6126,0
22600168,4,11,13,17.1,32,Evan Mobley,SG,POR,MEM,1,-30,3.0,0.8,3.1,Restricted Area,0,0,2.0,1,6.8,0.6802,1
22600003,3,10,32,10.5,10,Shai Gilgeous-Alexander,PG,MEM,UTA,0,-8,-21.1,6.8,22.1,Right Corner 3,1,2,1.7,0,3.3,0.3193,1
22600387,3,5,55,14.6,52,Dejounte Murray,PG,PHX,GSW,1,-8,-4.9,5.6,7.4,In The Paint (Non-RA),0,2,1.4,0,2.5,0.3721,0
22600067,4,3,2,6.8,9,Anthony Edwards,SG,BKN,CHI,0,-2,0.4,7.4,7.4,In The Paint (Non-RA),0,1,5.0,0,2.8,0.3597,0
22600239,2,6,31,12.2,3,Jayson Tatum,PF,HOU,NYK,0,-18,-0.7,4.5,4.6,In The Paint (Non-RA),0,0,3.0,0,1.3,0.3314,1
22600073,3,5,12,12.3,21,Bam Adebayo,SF,UTA,DEN,1,5,-2.4,6.8,7.2,In The Paint (Non-RA),0,2,1.4,0,5.1,0.4581,0
22600374,4,11,58,11.3,46,Pascal Siakam,C,PHX,ATL,0,-11,2.6,6.7,7.2,In The Paint (Non-RA),0,2,2.5,0,6.7,0.4957,1
22600296,1,5,43,15.0,1,James Harden,PG,TOR,SAC,1,0,-29.8,17.9,34.7,Deep 3 / Heave,1,1,3.8,0,5.2,0.1659,0
22600322,4,10,23,11.1,31,Cade Cunningham,SF,LAL,CLE,1,-4,-15.4,21.7,26.6,Above The Break 3,1,2,1.6,0,4.5,0.3992,0
22600173,2,3,39,8.0,23,Domantas Sabonis,PG,CHI,HOU,0,11,3.1,4.4,5.4,In The Paint (Non-RA),0,1,0.9,1,1.5,0.4489,0
22600187,3,4,42,5.3,8,Devin Booker,PF,IND,CLE,1,9,8.7,28.3,29.6,Above The Break 3,1,1,2.2,1,3.5,0.4222,0
22600254,2,3,49,10.6,37,Zach LaVine,C,DEN,DAL,0,-9,-0.3,0.3,0.4,Restricted Area,0,1,2.2,1,0.2,0.5415,1
22600314,3,9,31,10.2,13,Zion Williamson,PF,LAL,TOR,0,-18,27.9,10.9,29.9,Above The Break 3,1,5,6.9,0,6.1,0.2772,0
22600339,3,6,51,9.2,3,Jayson Tatum,PF,HOU,DEN,0,4,-21.5,5.0,22.1,Left Corner 3,1,1,0.7,1,6.2,0.383,0
22600008,3,3,3,14.4,12,Trae Young,C,CLE,OKC,0,4,-12.3,23.5,26.5,Above The Break 3,1,1,3.7,0,3.0,0.3151,1
22600266,1,11,31,19.1,59,Scoot Henderson,PF,DEN,MIN,0,-7,24.1,17.5,29.8,Above The Break 3,1,2,2.7,0,10.1,0.4489,0
22600044,3,9,22,7.5,11,Ja Morant,SF,PHX,OKC,0,-7,-1.3,1.6,2.0,Restricted Area,0,2,4.5,0,5.7,0.6825,1
22600116,4,11,5,24.0,60,Brandin Duren,PF,CHA,DAL,0,3,-0.7,15.0,15.0,Mid-Range,0,3,7.2,0,3.5,0.376,0
22600332,3,0,26,8.0,37,Zach LaVine,C,DEN,MEM,0,5,-1.1,2.4,2.6,Restricted Area,0,2,2.3,0,8.6,0.6473,1
22600101,2,3,37,12.7,23,Domantas Sabonis,PG,CHI,WAS,0,-2,-1.2,1.0,1.5,Restricted Area,0,2,1.7,0,5.5,0.6675,0
22600319,2,0,1,8.8,22,De'Aaron Fox,SG,LAL,TOR,0,-6,13.3,2.9,13.6,Mid-Range,0,0,0.4,1,4.0,0.4267,0
22600186,1,1,33,17.5,37,Zach LaVine,C,DEN,CLE,0,-10,24.9,14.9,29.0,Above The Break 3,1,3,2.5,0,7.7,0.2979,0
22600094,3,2,12,17.0,5,Giannis Antetokounmpo,SF,LAC,GSW,0,0,4.3,6.6,7.9,In The Paint (Non-RA),0,0,4.5,0,2.6,0.4259,0
22600134,2,9,31,15.5,46,Pascal Siakam,C,PHX,HOU,1,7,-2.1,11.7,11.9,Mid-Range,0,3,4.9,0,3.8,0.4122,0
22600213,2,5,44,14.8,50,Josh Hart,PF,ORL,DET,0,12,-22.5,8.5,24.1,Above The Break 3,1,2,2.1,0,0.2,0.2843,0
22600307,2,6,34,4.5,9,Anthony Edwards,SG,BKN,ORL,0,9,11.6,7.0,13.5,Mid-Range,0,1,4.0,0,3.3,0.3875,0
22600243,1,1,28,16.2,5,Giannis Antetokounmpo,SF,LAC,TOR,1,13,0.2,0.1,0.2,Restricted Area,0,4,6.2,0,4.8,0.6563,0
22600374,3,3,27,21.5,42,Klay Thompson,PF,CLE,SAS,1,14,-0.6,1.6,1.7,Restricted Area,0,1,3.0,0,5.3,0.6269,0
22600348,1,10,17,24.0,59,Scoot Henderson,PF,DEN,MIN,1,14,-0.6,0.1,0.6,Restricted Area,0,0,0.4,1,6.1,0.67,1
22600302,1,6,7,18.5,1,James Harden,PG,TOR,GSW,1,15,-13.7,17.1,21.9,Long Mid-Range,0,5,15.1,0,4.9,0.3542,0
22600242,1,5,58,8.7,30,Franz Wagner,SF,POR,CHA,1,15,-10.6,5.4,11.9,Mid-Range,0,1,1.6,1,3.9,0.4545,0
22600116,3,9,28,18.1,5,Giannis Antetokounmpo,SF,LAC,GSW,0,7,-22.5,5.7,23.2,Right Corner 3,1,3,4.4,0,0.2,0.2868,0
22600166,3,9,35,11.3,29,Scottie Barnes,SF,PHX,DEN,0,-3,-4.3,15.7,16.3,Long Mid-Range,0,4,8.3,0,0.6,0.2669,0
22600048,4,1,22,9.5,20,Tyrese Haliburton,SF,OKC,PHX,1,-2,10.5,13.8,17.3,Long Mid-Range,0,1,2.6,0,0.2,0.3732,1
22600150,3,11,14,4.9,9,Anthony Edwards,SG,BKN,CHI,1,-16,1.4,0.5,1.5,Restricted Area,0,2,4.0,0,2.1,0.5602,1
22600371,3,0,38,18.9,12,Trae Young,C,CLE,NOP,0,8,1.8,29.2,29.3,Above The Break 3,1,1,7.2,0,5.9,0.3252,1
22600171,2,8,25,2.9,57,Amen Thompson,SF,BOS,CLE,0,-11,10.5,25.0,27.1,Above The Break 3,1,0,0.4,1,1.3,0.2514,1
22600046,4,1,26,16.0,22,De'Aaron Fox,SG,LAL,GSW,0,-8,6.3,17.1,18.2,Long Mid-Range,0,5,3.2,0,8.2,0.3928,1
22600261,2,9,14,15.4,1,James Harden,PG,TOR,MIA,1,22,-2.1,11.9,12.1,Mid-Range,0,2,1.5,0,2.5,0.3401,0
22600386,1,9,37,19.5,20,Tyrese Haliburton,SF,OKC,NOP,0,8,-21.0,6.8,22.0,Right Corner 3,1,3,2.0,0,8.0,0.425,0
22600347,3,9,48,12.7,39,Mikal Bridges,SG,NYK,CLE,1,-3,8.9,25.7,27.2,Above The Break 3,1,1,2.0,1,4.0,0.3944,1
22600110,3,10,7,8.8,28,Julius Randle,C,GSW,UTA,1,4,12.6,6.4,14.1,Mid-Range,0,1,1.9,1,5.6,0.4913,1
22600182,1,9,47,3.9,43,Kyrie Irving,PF,POR,HOU,1,14,0.2,0.5,0.6,Restricted Area,0,4,4.4,0,6.0,0.5837,0
22600213,3,1,25,16.6,53,Alperen Sengun,SG,MIL,MEM,1,1,30.2,11.5,32.3,Deep 3 / Heave,1,1,0.9,1,5.6,0.2338,0
22600100,1,5,42,13.5,12,Trae Young,C,CLE,BOS,1,3,7.6,6.0,9.7,Mid-Range,0,2,5.3,0,7.3,0.4323,0
22600108,2,10,55,15.7,60,Brandin Duren,PF,CHA,LAC,1,2,9.2,11.3,14.5,Mid-Range,0,1,1.3,1,7.3,0.5181,1
22600095,2,9,18,10.4,34,Anfernee Simons,SF,IND,NYK,1,-7,5.0,23.8,24.3,Above The Break 3,1,2,3.9,0,6.2,0.3473,1
22600398,2,9,44,22.8,49,Bradley Beal,PF,MEM,SAS,0,11,5.7,24.2,24.8,Above The Break 3,1,2,6.9,0,4.1,0.3437,1
22600299,2,4,43,8.3,57,Amen Thompson,SF,BOS,POR,1,23,2.6,28.0,28.1,Above The Break 3,1,2,3.0,0,4.8,0.2884,1
22600337,5,4,0,8.3,9,Anthony Edwards,SG,BKN,PHI,0,-4,0.2,25.3,25.3,Above The Break 3,1,2,2.9,0,3.4,0.3567,0
22600327,2,10,33,16.9,32,Evan Mobley,SG,POR,DAL,0,-17,0.2,1.2,1.2,Restricted Area,0,1,4.2,0,5.3,0.6783,1
22600384,1,9,29,12.6,46,Pascal Siakam,C,PHX,SAS,1,-3,-5.2,4.9,7.1,In The Paint (Non-RA),0,1,5.8,0,1.9,0.442,0
22600043,1,8,35,19.0,32,Evan Mobley,SG,POR,NYK,0,7,12.2,5.2,13.2,Mid-Range,0,5,4.2,0,4.1,0.3756,1
22600353,1,9,6,15.1,39,Mikal Bridges,SG,NYK,MIA,1,-9,-8.6,5.3,10.1,Mid-Range,0,1,3.5,0,2.9,0.3381,0
22600027,3,10,21,8.3,43,Kyrie Irving,PF,POR,DEN,0,10,-22.9,6.7,23.9,Right Corner 3,1,3,4.4,0,2.4,0.3007,1
22600191,1,1,26,4.3,55,Victor Wembanyama,SF,MIA,WAS,0,7,1.8,3.0,3.5,Restricted Area,0,2,8.4,0,4.9,0.6134,0
22600238,1,9,51,18.6,59,Scoot Henderson,PF,DEN,PHX,0,-4,22.2,5.5,22.9,Right Corner 3,1,4,3.6,0,5.4,0.4096,0
22600144,1,0,46,14.1,15,Joel Embiid,PF,OKC,PHI,1,-7,-1.6,1.7,2.4,Restricted Area,0,1,5.0,0,7.5,0.6415,1
22600059,2,8,31,12.4,12,Trae Young,C,CLE,SAS,0,-8,0.8,11.3,11.3,Mid-Range,0,0,3.7,0,2.0,0.3814,0
22600077,1,1,16,11.5,28,Julius Randle,C,GSW,MIL,0,7,-0.9,0.5,1.0,Restricted Area,0,1,2.6,0,1.0,0.6335,1
22600330,1,0,53,24.0,25,Brandon Ingram,PF,NOP,DET,1,4,-21.2,12.4,24.6,Above The Break 3,1,2,1.9,0,2.0,0.2318,0
22600128,4,7,3,18.4,9,Anthony Edwards,SG,BKN,MEM,0,-1,13.6,30.9,33.8,Deep 3 / Heave,1,2,3.3,0,5.9,0.2063,0
22600125,3,7,3,5.2,53,Alperen Sengun,SG,MIL,DAL,1,15,-22.1,9.2,23.9,Right Corner 3,1,2,3.9,0,1.4,0.2957,0
22600370,1,5,9,6.1,48,Derrick White,C,NYK,NOP,1,8,-2.8,3.3,4.3,In The Paint (Non-RA),0,1,2.7,0,4.9,0.4046,0
22600058,4,9,31,9.1,53,Alperen Sengun,SG,MIL,WAS,1,-12,-2.6,1.7,3.1,Restricted Area,0,0,0.1,1,2.7,0.6548,1
22600367,1,6,15,11.5,56,Paolo Banchero,PG,MIN,DAL,0,-11,1.1,5.0,5.1,In The Paint (Non-RA),0,0,4.8,0,4.2,0.3805,0
22600369,1,8,36,24.0,43,Kyrie Irving,PF,POR,MIN,0,-6,-16.0,22.5,27.6,Above The Break 3,1,1,2.7,0,4.7,0.301,0
22600240,1,6,51,21.1,55,Victor Wembanyama,SF,MIA,GSW,1,-4,7.9,17.1,18.8,Long Mid-Range,0,2,4.1,0,7.3,0.3879,1
